股票代號,股票名稱,成交價,漲跌,開盤價,最高價,最低價,成交量
006201,元大富櫃50,42.42,+1.22,43.18,43.44,42.30,"667,697"
00679B,元大美債20年,26.67,+0.22,26.68,26.73,26.64,"47,313,881"
00687B,國泰20年美債,27.76,+0.22,27.76,27.82,27.73,"28,754,471"
00687C,國泰20年美債+櫃U,9.18,+0.13,9.18,9.18,9.18,"25,000"
00694B,富邦美債1-3,42.34,-0.15,42.62,42.62,42.31,"213,482"
00695B,富邦美債7-10,35.41,+0.05,35.42,35.45,35.41,"150,255"
00696B,富邦美債20年,28.74,+0.25,28.75,28.80,28.72,"4,081,359"
00697B,元大美債7-10,35.99,+0.08,36.00,36.04,35.98,"310,826"
00719B,元大美債1-3,31.48,-0.12,31.60,31.60,31.43,"5,828,365"
00720B,元大投資級公司債,32.61,+0.26,32.64,32.66,32.59,"7,352,733"
00722B,群益投資級電信債,35.02,+0.33,35.06,35.07,34.99,"2,277,800"
00723B,群益投資級科技債,30.19,+0.27,30.18,30.23,30.18,"110,366"
00724B,群益投資級金融債,33.63,+0.21,33.70,33.70,33.62,"5,449,041"
00725B,國泰投資級公司債,34.77,+0.28,34.75,34.84,34.73,"2,461,348"
00726B,國泰新興投等債,32.62,+0.07,32.64,32.67,32.62,"295,783"
00727B,國泰優選非投等債,39.89,+0.01,39.91,39.94,39.89,"103,083"
00734B,台新JPM新興債,15.72,+0.07,15.72,15.72,15.72,"220,002"
00740B,富邦全球投等債,38.37,+0.28,38.33,38.43,38.33,"1,313,461"
00741B,富邦全球非投等債,37.95,-0.03,38.00,38.00,37.87,"149,440"
00746B,富邦A級公司債,35.33,+0.22,35.31,35.37,35.31,"222,896"
00749B,凱基新興債10+,31.35,+0.10,31.28,31.35,31.28,"101,000"
00750B,凱基科技債10+,32.53,+0.27,32.53,32.53,32.53,"150,000"
00751B,元大AAA至A公司債,31.17,+0.25,31.19,31.23,31.15,"4,293,526"
00754B,群益AAA-AA公司債,32.95,+0.33,32.88,32.95,32.86,"160,034"
00755B,群益投資級公用債,32.86,+0.23,32.82,32.87,32.82,"107,408"
00756B,群益投等新興公債,31.51,+0.17,31.55,31.56,31.48,"246,725"
00758B,復華能源債,51.60,+0.25,51.65,51.65,51.60,"102,000"
00759B,復華製藥債,54.50,+0.20,54.50,54.50,54.50,"101,001"
00760B,復華新興企業債,53.75,+0.25,53.75,53.75,53.75,"100,978"
00761B,國泰A級公司債,34.42,+0.26,34.41,34.48,34.40,"742,851"
00764B,群益25年美債,27.67,+0.24,27.70,27.71,27.63,"13,352,181"
00768B,復華20年美債,49.98,+0.39,49.94,50.05,49.93,"1,856,341"
00772B,中信高評級公司債,33.40,+0.22,33.45,33.48,33.40,"2,259,607"
00773B,中信優先金融債,35.91,+0.22,35.92,35.97,35.89,"577,661"
00777B,凱基AAA至A公司債,32.06,+0.20,32.11,32.12,32.06,"122,506"
00778B,凱基金融債20+,34.31,+0.35,34.23,34.31,34.21,"114,000"
00779B,凱基美債25+,27.96,+0.17,27.96,28.03,27.93,"387,005"
00780B,國泰A級金融債,37.71,+0.04,37.76,37.77,37.70,"116,301"
00781B,國泰A級科技債,27.92,+0.28,27.79,27.97,27.79,"180,755"
00782B,國泰A級公用債,30.15,+0.17,30.16,30.19,30.15,"122,000"
00785B,富邦金融投等債,34.88,+0.26,34.84,34.91,34.84,"105,468"
00786B,元大10年IG銀行債,32.95,+0.19,32.94,32.97,32.93,"117,002"
00787B,元大10年IG醫療債,32.51,+0.21,32.54,32.56,32.48,"17,188"
00788B,元大10年IG電能債,29.84,+0.14,29.88,29.90,29.84,"15,095"
00789B,復華公司債A3,47.20,+0.30,47.22,47.25,47.19,"176,021"
00791B,復華信用債1-5,57.50,-0.05,57.60,57.60,57.50,"121,999"
00792B,群益A級公司債,31.59,+0.28,31.54,31.63,31.54,"152,700"
00793B,群益AAA-A醫療債,30.59,+0.19,30.64,30.64,30.59,"36,162"
00795B,中信美國公債20年,26.86,+0.25,26.86,26.90,26.83,"6,601,549"
00799B,國泰A級醫療債,29.62,+0.16,29.53,30.06,29.53,"389,794"
00834B,第一金金融債10+,33.81,+0.18,33.81,33.81,33.81,"100,000"
